features,label
"Lozano-Ellis agrees to provide the following services to Day, Morrison and Vega. services are service1 service2, service3.",0
"Day, Morrison and Vega agrees to pay Lozano-Ellis the amount of $81254 for the services described above. Payment shall be made within 49 days of receiving an invoice from Lozano-Ellis.",1
This contract will commence on 2024-06-08 and will continue until 2024-03-27 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 49 days written notice to the other party. In the event of termination, Lozano-Ellis will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Washington.,5
Lozano-Ellis,6
"Day, Morrison and Vega",6
"Romero and Sons agrees to provide the following services to Wells, Waters and Sampson. services are service1 service2, service3.",0
"Wells, Waters and Sampson agrees to pay Romero and Sons the amount of $18569 for the services described above. Payment shall be made within 84 days of receiving an invoice from Romero and Sons.",1
This contract will commence on 2024-02-17 and will continue until 2024-04-18 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 84 days written notice to the other party. In the event of termination, Romero and Sons will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Idaho.,5
Romero and Sons,6
"Wells, Waters and Sampson",6
"Bowman Ltd agrees to provide the following services to Johnson-Estrada. services are service1 service2, service3.",0
Johnson-Estrada agrees to pay Bowman Ltd the amount of $60994 for the services described above. Payment shall be made within 70 days of receiving an invoice from Bowman Ltd.,1
This contract will commence on 2024-04-27 and will continue until 2024-04-12 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 70 days written notice to the other party. In the event of termination, Bowman Ltd will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Massachusetts.,5
Bowman Ltd,6
Johnson-Estrada,6
"Bernard and Sons agrees to provide the following services to Pitts Ltd. services are service1 service2, service3.",0
Pitts Ltd agrees to pay Bernard and Sons the amount of $79554 for the services described above. Payment shall be made within 80 days of receiving an invoice from Bernard and Sons.,1
This contract will commence on 2024-02-01 and will continue until 2024-04-11 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 80 days written notice to the other party. In the event of termination, Bernard and Sons will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Louisiana.,5
Bernard and Sons,6
Pitts Ltd,6
"Jones, Spears and Osborne agrees to provide the following services to Wilcox PLC. services are service1 service2, service3.",0
"Wilcox PLC agrees to pay Jones, Spears and Osborne the amount of $48014 for the services described above. Payment shall be made within 52 days of receiving an invoice from Jones, Spears and Osborne.",1
This contract will commence on 2024-05-18 and will continue until 2024-03-09 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 52 days written notice to the other party. In the event of termination, Jones, Spears and Osborne will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Alaska.,5
"Jones, Spears and Osborne",6
Wilcox PLC,6
"Greene-Hendricks agrees to provide the following services to Robinson, Terry and Anderson. services are service1 service2, service3.",0
"Robinson, Terry and Anderson agrees to pay Greene-Hendricks the amount of $82300 for the services described above. Payment shall be made within 80 days of receiving an invoice from Greene-Hendricks.",1
This contract will commence on 2024-03-13 and will continue until 2024-05-10 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 80 days written notice to the other party. In the event of termination, Greene-Hendricks will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Virginia.,5
Greene-Hendricks,6
"Robinson, Terry and Anderson",6
"Wilson LLC agrees to provide the following services to Robbins and Sons. services are service1 service2, service3.",0
Robbins and Sons agrees to pay Wilson LLC the amount of $31866 for the services described above. Payment shall be made within 54 days of receiving an invoice from Wilson LLC.,1
This contract will commence on 2024-01-18 and will continue until 2024-04-01 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 54 days written notice to the other party. In the event of termination, Wilson LLC will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Wyoming.,5
Wilson LLC,6
Robbins and Sons,6
"Ortega, Anderson and Yang agrees to provide the following services to Johnson, Griffin and Morrison. services are service1 service2, service3.",0
"Johnson, Griffin and Morrison agrees to pay Ortega, Anderson and Yang the amount of $8860 for the services described above. Payment shall be made within 60 days of receiving an invoice from Ortega, Anderson and Yang.",1
This contract will commence on 2024-01-25 and will continue until 2024-03-24 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 60 days written notice to the other party. In the event of termination, Ortega, Anderson and Yang will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Illinois.,5
"Ortega, Anderson and Yang",6
"Johnson, Griffin and Morrison",6
"Carlson, Taylor and Romero agrees to provide the following services to James-Martinez. services are service1 service2, service3.",0
"James-Martinez agrees to pay Carlson, Taylor and Romero the amount of $27169 for the services described above. Payment shall be made within 82 days of receiving an invoice from Carlson, Taylor and Romero.",1
This contract will commence on 2024-03-23 and will continue until 2024-02-18 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 82 days written notice to the other party. In the event of termination, Carlson, Taylor and Romero will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of West Virginia.,5
"Carlson, Taylor and Romero",6
James-Martinez,6
"Rodriguez-Wilson agrees to provide the following services to Cole, Costa and Rios. services are service1 service2, service3.",0
"Cole, Costa and Rios agrees to pay Rodriguez-Wilson the amount of $92979 for the services described above. Payment shall be made within 71 days of receiving an invoice from Rodriguez-Wilson.",1
This contract will commence on 2024-05-27 and will continue until 2024-01-17 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 71 days written notice to the other party. In the event of termination, Rodriguez-Wilson will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Illinois.,5
Rodriguez-Wilson,6
"Cole, Costa and Rios",6
"Jacobs PLC agrees to provide the following services to Hanson and Sons. services are service1 service2, service3.",0
Hanson and Sons agrees to pay Jacobs PLC the amount of $54807 for the services described above. Payment shall be made within 59 days of receiving an invoice from Jacobs PLC.,1
This contract will commence on 2024-01-27 and will continue until 2024-02-18 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 59 days written notice to the other party. In the event of termination, Jacobs PLC will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Florida.,5
Jacobs PLC,6
Hanson and Sons,6
"Hall, Rivera and Phillips agrees to provide the following services to Ramirez PLC. services are service1 service2, service3.",0
"Ramirez PLC agrees to pay Hall, Rivera and Phillips the amount of $27674 for the services described above. Payment shall be made within 42 days of receiving an invoice from Hall, Rivera and Phillips.",1
This contract will commence on 2024-04-30 and will continue until 2024-04-16 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 42 days written notice to the other party. In the event of termination, Hall, Rivera and Phillips will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of New Jersey.,5
"Hall, Rivera and Phillips",6
Ramirez PLC,6
"Cannon Ltd agrees to provide the following services to Anderson-Keller. services are service1 service2, service3.",0
Anderson-Keller agrees to pay Cannon Ltd the amount of $1251 for the services described above. Payment shall be made within 77 days of receiving an invoice from Cannon Ltd.,1
This contract will commence on 2024-05-28 and will continue until 2024-05-21 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 77 days written notice to the other party. In the event of termination, Cannon Ltd will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Nevada.,5
Cannon Ltd,6
Anderson-Keller,6
"Thompson, Perry and Dean agrees to provide the following services to Anderson and Sons. services are service1 service2, service3.",0
"Anderson and Sons agrees to pay Thompson, Perry and Dean the amount of $38236 for the services described above. Payment shall be made within 53 days of receiving an invoice from Thompson, Perry and Dean.",1
This contract will commence on 2024-05-23 and will continue until 2024-05-29 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 53 days written notice to the other party. In the event of termination, Thompson, Perry and Dean will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Illinois.,5
"Thompson, Perry and Dean",6
Anderson and Sons,6
"Murray LLC agrees to provide the following services to West, Lambert and Sullivan. services are service1 service2, service3.",0
"West, Lambert and Sullivan agrees to pay Murray LLC the amount of $56439 for the services described above. Payment shall be made within 67 days of receiving an invoice from Murray LLC.",1
This contract will commence on 2024-05-21 and will continue until 2024-05-26 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 67 days written notice to the other party. In the event of termination, Murray LLC will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Wyoming.,5
Murray LLC,6
"West, Lambert and Sullivan",6
"Valentine PLC agrees to provide the following services to French PLC. services are service1 service2, service3.",0
French PLC agrees to pay Valentine PLC the amount of $32866 for the services described above. Payment shall be made within 80 days of receiving an invoice from Valentine PLC.,1
This contract will commence on 2024-05-04 and will continue until 2024-03-11 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 80 days written notice to the other party. In the event of termination, Valentine PLC will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Utah.,5
Valentine PLC,6
French PLC,6
"Baker-Adams agrees to provide the following services to Savage PLC. services are service1 service2, service3.",0
Savage PLC agrees to pay Baker-Adams the amount of $39029 for the services described above. Payment shall be made within 37 days of receiving an invoice from Baker-Adams.,1
This contract will commence on 2024-04-06 and will continue until 2024-01-09 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 37 days written notice to the other party. In the event of termination, Baker-Adams will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Massachusetts.,5
Baker-Adams,6
Savage PLC,6
"Myers and Sons agrees to provide the following services to Mcneil PLC. services are service1 service2, service3.",0
Mcneil PLC agrees to pay Myers and Sons the amount of $65416 for the services described above. Payment shall be made within 45 days of receiving an invoice from Myers and Sons.,1
This contract will commence on 2024-03-21 and will continue until 2024-03-15 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 45 days written notice to the other party. In the event of termination, Myers and Sons will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Oklahoma.,5
Myers and Sons,6
Mcneil PLC,6
"Bell-Young agrees to provide the following services to Randolph-Cooper. services are service1 service2, service3.",0
Randolph-Cooper agrees to pay Bell-Young the amount of $58104 for the services described above. Payment shall be made within 64 days of receiving an invoice from Bell-Young.,1
This contract will commence on 2024-05-24 and will continue until 2024-01-11 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 64 days written notice to the other party. In the event of termination, Bell-Young will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of California.,5
Bell-Young,6
Randolph-Cooper,6
"Soto, Thomas and Lewis agrees to provide the following services to Jackson Inc. services are service1 service2, service3.",0
"Jackson Inc agrees to pay Soto, Thomas and Lewis the amount of $16141 for the services described above. Payment shall be made within 46 days of receiving an invoice from Soto, Thomas and Lewis.",1
This contract will commence on 2024-06-03 and will continue until 2024-04-27 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 46 days written notice to the other party. In the event of termination, Soto, Thomas and Lewis will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of South Dakota.,5
"Soto, Thomas and Lewis",6
Jackson Inc,6
"Boyd-Suarez agrees to provide the following services to Anderson, King and Shah. services are service1 service2, service3.",0
"Anderson, King and Shah agrees to pay Boyd-Suarez the amount of $96244 for the services described above. Payment shall be made within 80 days of receiving an invoice from Boyd-Suarez.",1
This contract will commence on 2024-02-01 and will continue until 2024-01-16 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 80 days written notice to the other party. In the event of termination, Boyd-Suarez will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Vermont.,5
Boyd-Suarez,6
"Anderson, King and Shah",6
"James, Meyer and Clark agrees to provide the following services to Anderson, Allen and Byrd. services are service1 service2, service3.",0
"Anderson, Allen and Byrd agrees to pay James, Meyer and Clark the amount of $94552 for the services described above. Payment shall be made within 35 days of receiving an invoice from James, Meyer and Clark.",1
This contract will commence on 2024-01-27 and will continue until 2024-04-10 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 35 days written notice to the other party. In the event of termination, James, Meyer and Clark will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Vermont.,5
"James, Meyer and Clark",6
"Anderson, Allen and Byrd",6
"Norris-Rogers agrees to provide the following services to Lindsey-Bullock. services are service1 service2, service3.",0
Lindsey-Bullock agrees to pay Norris-Rogers the amount of $40902 for the services described above. Payment shall be made within 78 days of receiving an invoice from Norris-Rogers.,1
This contract will commence on 2024-04-20 and will continue until 2024-04-28 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 78 days written notice to the other party. In the event of termination, Norris-Rogers will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of New Mexico.,5
Norris-Rogers,6
Lindsey-Bullock,6
"Turner, Bradford and Foster agrees to provide the following services to Santana and Sons. services are service1 service2, service3.",0
"Santana and Sons agrees to pay Turner, Bradford and Foster the amount of $86508 for the services described above. Payment shall be made within 31 days of receiving an invoice from Turner, Bradford and Foster.",1
This contract will commence on 2024-01-31 and will continue until 2024-05-25 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 31 days written notice to the other party. In the event of termination, Turner, Bradford and Foster will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Maryland.,5
"Turner, Bradford and Foster",6
Santana and Sons,6
"Martinez-Brown agrees to provide the following services to Shaw-Christian. services are service1 service2, service3.",0
Shaw-Christian agrees to pay Martinez-Brown the amount of $74913 for the services described above. Payment shall be made within 59 days of receiving an invoice from Martinez-Brown.,1
This contract will commence on 2024-05-24 and will continue until 2024-03-22 unless terminated earlier in accordance with the Termination clause.,2
Both parties agree to maintain the confidentiality of any proprietary or confidential information disclosed during the term of this contract. This obligation will continue beyond the termination of this contract.,3
"Either party may terminate this contract with 59 days written notice to the other party. In the event of termination, Martinez-Brown will be compensated for all services performed up to the date of termination.",4
This contract shall be governed by and construed in accordance with the laws of the State of Arizona.,5
Martinez-Brown,6
Shaw-Christian,6
"Houston-Martin agrees to provide the following services to Cline-Walker. services are service1 service2, service3.",0
